mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000040749.12	2.20322	2.45084	3.86554	1.46863	3.32982	0.655347	2.06873	3.8098	1.75365	1.70084	5.58301	2.55214	4.49247	3.10598	5.69648	3.6488	3.57239	5.04771	4.5972	3.76104	4.26686	3.54952
ENSMUSG00000031367.16	290.752	284.708	283.564	285.155	313.708	271.579	264.307	297.262	287.972	278.317	290.267	305.804	270.031	287.848	222.791	246.279	249.857	250.198	277.822	225.821	289.316	264.766
ENSMUSG00000031357.4	50.8363	64.9409	57.8846	65.6127	59.9744	56.3496	54.7948	65.9907	56.8946	69.2648	57.0447	60.1507	58.9914	74.1225	54.1333	71.7163	55.9742	64.4033	53.8705	63.1702	48.3246	64.3064
ENSMUSG00000038344.15	20.4469	25.9973	25.3782	27.3465	24.9798	25.9564	19.5701	23.7948	22.2482	28.6084	20.5824	27.7691	24.5053	30.1792	20.9599	27.8712	22.4116	24.6127	20.1388	26.0697	19.4245	27.6648
ENSMUSG00000031353.14	39.1867	73.757	44.8394	78.6163	35.3331	71.5222	43.5429	71.9832	39.5592	80.7678	31.7833	63.1551	35.9338	83.2421	41.6603	96.6477	35.3312	73.2449	32.9036	71.5655	37.8128	73.9496
ENSMUSG00000059493.14	0.03176	0.044589	0	0	0.014361	0	0	0	0.021823	0.018672	0	0	0.014396	0.037966	0	0.013718	0.034738	0	0.02856	0	0	0
ENSMUSG00000043518.8	0.148999	0	0.044873	0	0.033752	0	0	0	0	0	0	0	0.202884	0.65363	0.054952	0.347776	0.079982	0	0.065803	0.110398	0.117611	0
ENSMUSG00000055691.6	0.080395	0.169424	0.339028	0.290903	0.218597	0	0.104505	0	0.110645	0	0	0	0.036497	0.176398	0.118609	0.069573	0	0.137625	0.144797	0.119172	0.126922	0.068151
ENSMUSG00000031293.14	0.237693	0.129765	0.095308	0.047744	0.119386	0.063348	0.947981	0	0.108867	0.124191	0.229638	0	0.215436	0.086653	0.097352	0.068429	0.086653	0.090336	0.094981	0.117104	0.208408	0.245818
ENSMUSG00000031295.14	66.9096	85.9565	76.0915	72.8261	78.7019	77.5588	78.5942	70.7977	62.7446	54.4752	51.6054	51.7264	57.9292	55.715	40.4596	75.2645	63.0616	71.1689	63.5621	58.0219	77.6538	63.9856
ENSMUSG00000040990.18	181.635	201.722	186.468	196.178	185.705	206.506	161.277	185.725	183.687	204.863	156.281	138.215	175.831	238.643	185.699	268.915	168.004	200.9	171.939	210.2	180.375	194.038
ENSMUSG00000044150.13	9.51174	17.2326	9.95177	16.5172	10.1161	15.4426	10.969	15.9895	9.73462	14.2858	8.38075	12.9892	7.24367	16.3563	6.61413	15.4651	6.46667	13.5868	7.43733	13.6352	8.34538	16.1988
ENSMUSG00000041020.15	0	0	0	0	0	0	0	0	0	0	0	0	0.046387	0.141957	0.095234	0	0	0	0.116368	0	0	0
ENSMUSG00000025658.17	0.053784	0	0	0.031433	0.015724	0	0	0	0	0.020444	0	0.114951	0.036562	0.019023	0.039651	0.03004	0.057049	0	0.024179	0.025708	0	0
ENSMUSG00000091736.4	2.6073	2.80219	0.93438	5.18827	1.99988	8.61131	2.7425	5.47419	2.53231	3.21052	0	0	3.46506	3.24177	2.35066	4.16506	4.24242	7.27543	2.59441	3.33442	0	4.10852
ENSMUSG00000057457.12	0	0.154233	0	0	0.039534	0	0	0.089581	0.120136	0.025698	0	0	0.03322	0.080266	0.20463	0.042447	0	0	0.0659	0.06464	0	0
ENSMUSG00000055109.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041552.8	2.12238	5.67966	3.52234	7.8789	1.6619	5.926	2.98047	6.82336	0.51279	1.24883	2.16118	3.91773	0.416338	0.722737	0.169212	1.26475	0.43932	1.86496	0.361347	1.69846	1.1771	2.91526
ENSMUSG00000057402.6	0	0.227345	0.097609	0.439158	0.735229	0.390474	0.421251	0.332342	0.111494	0.668057	0	2.74687	0.220699	0.267227	0	0.982065	0.088539	0.138542	0.145905	0.601627	0.25529	0.549573
ENSMUSG00000055746.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079350.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094196.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063728.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072888.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025051.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059663.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096867.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094802.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046550.9	0	0.09094	0	0	0	0	0	0.265793	0	0	0	0.55044	0	0	0	0.112157	0	0	0	0	0	0
ENSMUSG00000041633.15	19.1282	22.6025	17.3404	17.9529	23.9504	19.2312	17.4603	14.9499	20.7837	19.4297	15.7233	14.1002	13.031	19.8165	6.70162	15.1517	11.4865	12.4733	11.45	11.2788	11.7375	11.1149
ENSMUSG00000048573.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050148.10	31.2264	39.9536	34.7275	35.7175	33.7484	39.8625	31.8169	33.074	33.4394	35.2136	26.5781	29.9251	33.1837	35.8399	28.1932	35.607	28.7588	33.5913	31.4351	33.8531	34.8138	38.1082
ENSMUSG00000041658.13	3.54729	2.65132	2.14418	2.74527	1.28544	1.42691	1.02798	2.34895	1.22485	1.38351	0.825591	4.64884	0.587348	1.09326	0.945791	2.88967	0.706322	2.59605	0.641168	3.48464	1.82891	4.23933
ENSMUSG00000071665.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047238.5	0.119024	0.334628	0.071787	0	0.216141	0	0	0	0.163999	0.140359	0	0	0.0541	0	0.175673	0.051575	0.130329	0	0.321925	1.23763	0	0
ENSMUSG00000067215.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065803	0.324891	0	0
ENSMUSG00000025333.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025332.15	83.7165	108.645	98.3556	101.949	91.6712	105.093	96.6021	101.715	102.617	110.903	95.3435	89.0488	70.7284	84.5616	62.3619	74.3809	67.557	70.1545	63.4826	74.9277	90.9308	109.022
ENSMUSG00000041133.12	102.348	126.365	118.137	132.495	113.124	122.817	99.2102	110.203	111.016	119.264	104.544	110.295	122.533	128.164	110.952	119.4	109.803	118.925	114.651	124.663	116.53	127.294
ENSMUSG00000025257.6	0.773186	0.931499	0.865826	0.999629	1.40351	0.709656	0.718565	1.36099	0.304307	1.10684	0	0	0.702683	1.45665	1.05957	1.19617	1.39073	1.41889	1.29425	1.148	1.22087	1.12475
ENSMUSG00000025260.11	89.0606	61.3593	96.7588	61.9753	99.3512	56.7669	103.122	42.4966	102.865	68.3314	74.2802	59.4915	109.206	54.3475	119.175	64.4083	105.669	66.5427	117.618	67.3597	86.8188	61.1556
ENSMUSG00000025264.13	7.10517	12.4723	8.51925	9.49804	6.76494	11.9393	7.63501	12.6269	7.44802	11.0417	4.13082	8.61713	6.84943	11.1362	6.79271	11.8651	7.35302	9.5086	5.90993	11.4972	8.52116	11.1939
ENSMUSG00000025272.17	0	0	0	0.021194	0.021197	0.018745	0	0	0	0.013782	0	0	0	0.026754	0	0	0	0	0	0	0	0
ENSMUSG00000041353.13	5.35777	5.8021	6.19064	5.39556	5.91049	4.46078	4.52167	7.41458	5.2672	5.80128	6.23061	1.07424	5.67228	5.76502	5.32837	4.98696	4.08276	4.53225	4.16521	5.3049	2.33294	4.91005
ENSMUSG00000095082.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072931.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095872.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031290.15	0	0	0.065161	0.143216	0.053774	0.076025	0	0.194836	0.074431	0.018629	0	0	0	0.034665	0	0.041058	0.059161	0	0.097404	0	0	0
ENSMUSG00000067262.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041380.14	0	0.022944	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014118	0	0	0	0	0	0.193415
ENSMUSG00000041688.17	4.60443	7.87329	4.49177	10.7089	4.43123	9.6198	4.62337	10.0659	3.91158	9.982	4.10383	6.49992	2.36581	15.0299	2.0765	9.02695	3.64451	8.84274	3.23622	7.12265	6.32741	11.6834
ENSMUSG00000041710.5	0	0	0	0	0	0	0	0	0	0.022042	0	0	0	0	0	0	0	0	0	0	0.059163	0
ENSMUSG00000085139.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031284.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013904	0	0.231444
ENSMUSG00000031283.18	0	0	0	0.03442	0	0	0	0	0	0.044776	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085584.5	0	0.277362	0.021609	0.519521	0.04873	0.775764	0.046626	0.736252	0.024683	0.506857	0	0.920811	0	1.19876	0	0.465475	0	0.092157	0	0.026557	0	0.273613
ENSMUSG00000042225.4	5.91181	6.44927	7.18024	7.42476	7.78666	6.90903	6.12326	6.058	6.77618	6.85013	7.00202	8.01789	6.76266	6.54408	7.10343	7.54883	6.20154	6.0034	6.72116	6.74303	6.01088	7.67229
ENSMUSG00000047045.18	114.094	155.922	114.341	149.547	123.963	156.753	116.183	142.227	125.876	162.916	106.93	138.933	122.028	174.276	110.468	164.784	119.406	142.688	121.02	142.051	120.519	154.279
ENSMUSG00000042271.14	17.3541	25.7744	15.5885	26.8672	17.2823	20.3182	18.5553	28.3997	15.5022	22.2366	14.4534	16.4567	12.4999	21.7938	11.754	23.8097	11.3019	18.8124	15.5137	21.1303	14.302	20.6009
ENSMUSG00000031274.17	0.044693	0.062759	0.029465	0.132844	0.02022	0.019583	0.031787	0	0	0.069158	0	0	0	0.643999	0.018059	0.211545	0.013395	0.038231	0	0.036201	0	0.062177
ENSMUSG00000079418.6	18.3627	19.33	18.5948	19.1205	19.1081	20.1712	19.4989	19.7518	20.1676	21.6734	12.2972	29.9244	21.2199	20.3356	22.5852	25.4337	22.004	20.1605	19.5627	19.2197	17.4737	19.0739
ENSMUSG00000031289.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031429.15	26.0334	30.9572	33.9976	36.4529	30.6129	33.5543	25.1701	31.092	29.4853	30.8313	28.614	23.943	41.7174	41.5101	38.0888	40.7109	31.7744	27.6247	36.0917	30.5815	30.9874	35.5712
ENSMUSG00000000266.12	0.078187	0.173478	0.038068	0	0.112512	0.058884	0	0	0	0.074416	0	0	0.028685	0.069291	0.046628	0.217067	0.069178	0.022286	0.070297	0	0.389322	0.044105
ENSMUSG00000031432.4	14.2798	15.4853	12.7506	13.9647	13.5752	12.0369	11.6775	11.7721	12.5968	14.4829	13.9914	15.8666	17.8164	17.5863	23.0346	17.7116	19.1401	20.2815	18.2441	21.8226	14.5986	17.1
ENSMUSG00000042433.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031433.16	13.6886	11.3734	12.5508	11.7311	14.9914	13.23	14.6471	13.0147	12.1451	12.4839	8.96369	8.15464	11.2677	12.2961	11.1396	15.3265	10.573	11.1088	9.91244	11.0829	11.1688	12.743
